biggest n = 8, steps = 3
biggest n = 18, steps = 20
biggest n = 38, steps = 21
biggest n = 78, steps = 35
biggest n = 108, steps = 113
biggest n = 218, steps = 114
biggest n = 258, steps = 122
biggest n = 518, steps = 123
biggest n = 918, steps = 129
biggest n = 1218, steps = 132
biggest n = 1238, steps = 132
biggest n = 1278, steps = 132
biggest n = 1298, steps = 145
biggest n = 1308, steps = 145
biggest n = 1718, steps = 148
biggest n = 1758, steps = 148
biggest n = 1778, steps = 148
biggest n = 2498, steps = 177
biggest n = 4998, steps = 178
biggest n = 5078, steps = 178
biggest n = 5228, steps = 178
biggest n = 5838, steps = 217
biggest n = 11678, steps = 218
biggest n = 13838, steps = 226
biggest n = 17918, steps = 247
biggest n = 24798, steps = 263
biggest n = 30078, steps = 271
biggest n = 47058, steps = 282
biggest n = 62838, steps = 285
biggest n = 68478, steps = 311
biggest n = 94658, steps = 314
biggest n = 120338, steps = 317
biggest n = 123998, steps = 317
biggest n = 162318, steps = 320
biggest n = 176118, steps = 333
biggest n = 210108, steps = 341
biggest n = 212478, steps = 354
biggest n = 293198, steps = 357
biggest n = 312318, steps = 383
biggest n = 576978, steps = 389
biggest n = 847358, steps = 418
biggest n = 1383788, steps = 442
biggest n = 1675598, steps = 525
biggest n = 3351198, steps = 526
biggest n = 3447038, steps = 557
biggest n = 6894078, steps = 558
biggest n = 9143378, steps = 561
biggest n = 9275958, steps = 574
biggest n = 9447698, steps = 587
biggest n = 11298998, steps = 613
biggest n = 13298558, steps = 665
biggest n = 26597118, steps = 666
biggest n = 50403068, steps = 685
biggest n = 67204088, steps = 688
biggest n = 89605448, steps = 691
biggest n = 94399148, steps = 704
biggest n = 94399158, steps = 704
biggest n = 125865528, steps = 707
biggest n = 167820708, steps = 710
biggest n = 186257148, steps = 736
biggest n = 211414398, steps = 780
biggest n = 254912508, steps = 951
biggest n = 509825018, steps = 952
